word,co_occurrences_with_uncertainty
economic,71
future,40
political,39
election,35
rate,33
whether,32
market,31
high,27
business,27
industry,25
amid,25
trump,24
investment,24
global,24
creating,23
residents,22
risk,22
created,20
change,20
however,20
u.s,19
trade,19
people,19
anxiety,18
consumer,18
potential,17
chaos,17
sector,17
public,16
policy,16
workers,16
plan,15
interest,15
needs,15
family,15
east,15
remains,15
suffering,15
price,15
including,15
failure,15
fear,14
anguish,14
causing,14
company,14
among,14
course,14
acknowledgement,14
creates,14
middle,14
