word,co_occurrences_with_uncertainty
economic,114
trump,110
future,81
policy,79
tariffs,73
whether,62
federal,56
trade,54
market,54
amid,52
political,48
u.s,43
global,42
growth,42
change,38
outlook,37
investment,36
government,32
face,31
across,30
risk,30
administration,30
remains,30
among,29
potential,27
right,27
financial,27
business,27
fear,24
canada,24
chaos,24
reflected,23
creating,23
lack,22
deep,22
impact,21
created,21
deal,21
create,21
consumer,21
company,21
republican,21
another,20
inflation,20
years,20
price,20
according,20
world,19
rate,19
continues,19
