word,co_occurrences_with_uncertainty
economic,529
trump,433
tariffs,387
market,280
trade,252
policy,251
future,222
amid,200
business,195
u.s,183
investment,167
whether,157
political,137
global,130
change,125
impact,119
consumer,115
rate,109
federal,108
remains,101
growth,100
risk,97
world,91
created,88
government,87
company,84
price,80
people,75
creating,74
administration,73
financial,69
among,66
fear,66
potential,66
election,63
outlook,60
ongoing,60
high,59
industry,56
across,54
however,46
create,46
deal,46
costs,44
geopolitical,42
plan,42
chaos,41
years,35
dangerous,34
following,34
inflation,34
consequences,33
concerns,32
higher,32
face,31
supply,30
campaign,29
means,28
forecast,28
right,27
volatility,27
ahead,27
decision,25
re-election,25
month,25
confidence,25
likely,25
canada,24
reflected,23
residents,22
deep,22
lack,22
republican,21
according,20
disastrous,20
another,20
continues,19
controls,18
anxiety,18
good,18
biden,18
sector,17
clear,17
faced,16
value,16
workers,16
marked,16
keir,16
public,16
prospects,16
especially,15
interest,15
needs,15
family,15
east,15
suffering,15
including,15
failure,15
anguish,14
general,14
course,14
acknowledgement,14
creates,14
middle,14
period,14
considerable,14
manage,14
presidential,14
causing,14
level,14
households,4
research,4
bofa,4
see,1
forex,1
long-term,1
beneficial,1
need,1
success,1
construct,1
dealing,1
customers,1
available,1
might,1
regard,1
upheaval,1
review,1
long,1
periods,1
timing,1
okanagan,1
concern,1
redundancies,1
tree,1
against,1
reproductive,1
watts,1
throughout,1
bryan,1
quoted,1
acknowledges,1
parties,1
highly,1
transaction,1
whom,1
fruits,1
cause,1
